slug,name,fieldGroup,field,yearPosed,solveDate,model,modelMaker,aiContribution,resolutionMethod,verification,verification_route,lean_status,auto_tag,manual_verdict,significance,solveType,publication,harness_keyword_hits,think_hard_keyword_hits,trial_mentions,manual_rationale,sourceUrl
mazya-maximal-operator-banach-space,Maz'ya's Question on Distinguishing Two Maximal Operators,Analysis,Harmonic analysis,,2026-05-17,ChatGPT 5.4 Pro and ChatGPT 5.5 Pro,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,25,proved,preprint,pruning; search,,,,https://arxiv.org/abs/2605.17663
nazarov-truncation-conjecture,Nazarov's Conjecture on Truncations for Fractional Laplacians,Analysis,Nonlocal operators,2021,2026-08-05,Claude,Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,8,proved,preprint,,,,,https://arxiv.org/abs/2608.05433
phelps-rodriguez-conjecture,Phelps–Rodriguez Conjecture,Analysis,Complex analysis,1972,2026-08-12,"GPT-5.6 Pro, Claude Opus 5",OpenAI,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,30,proved,announcement,,,,,https://terrytao.wordpress.com/2026/08/12/a-digestion-of-the-proof-of-sendovs-conjecture/
primariness-lp-l1,Primariness of the Mixed-Norm Space $L_p(L_1)$,Analysis,Banach Space Decomposition Theory,,2026-07-19,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,agent,,,,https://arxiv.org/abs/2607.17388
polya-conjecture-neumann-balls,Pólya's Conjecture for Neumann Balls in Dimensions Three and Higher,Analysis,"Spectral Geometry, Laplace Eigenvalues",1954,2026-07-31,ChatGPT + Claude (several models),,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,35,proved,preprint,,,,,https://arxiv.org/abs/2607.29305
schiffer-conjecture,Schiffer's Conjecture and the Pompeiu Problem,Analysis,Spectral geometry,1929,2026-08-05,"GPT-5.6, Claude Opus 4.8, Claude Fable 5","OpenAI, Anthropic",ai-assisted,argument,lean-verified,lean,tiered-lean-verified,harness-signal,harness-lean-pipeline,53,disproved,preprint,harness; search,,,Coding harnesses used for numerics and proof drafting; a separate Lean4 verification written by GPT-5.6 from an early paper draft. Also incidentally refutes the 1929 Pompeiu problem via the same construction.,https://arxiv.org/abs/2608.05114
sendov-s-conjecture,Sendov's Conjecture,Analysis,Complex analysis,1959,2026-08-05,GPT-5.6 Pro,OpenAI,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,harness-lean-pipeline,40,proved,preprint,autonomous; search,,,"""Substantial"" AI contribution across discovery/derivation/computation/adversarial auditing, human-directed; separate Lean 4 development proves the exact statement.",https://www.proofatlas.ai/papers/sendov-conjecture/SENDOV_CONJECTURE_PROOF_AUGUST_5_2026.pdf
denjoy-theorem-sharpness,Sharpness of Denjoy's Theorem,Analysis,Dynamical systems,1979,2026-08-03,GPT-5.6 Sol Ultra; Claude Fable 5,,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,proved,preprint,search,,,,https://arxiv.org/abs/2608.02380
stable-phase-retrieval-random-spans,Stable Phase Retrieval for Spans of Independent Random Variables,Analysis,"Functional Analysis, Phase Retrieval",,2026-07-07,GPT-5 + Claude Opus 4,,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.06693
stein-s-dimension-free-weak-1-1-riesz-transform-problem,"Stein’s dimension-free weak-(1,1) Riesz transform problem",Analysis,Harmonic analysis,1986,2026-08-18,"Claude Opus 5.0, GPT-5.6 Sol","Anthropic, OpenAI",ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,38,proved,preprint,agent,,,,https://arxiv.org/abs/2608.18068
strichartz-cantor-fourier-frame,Strichartz's Question on Fourier Frames for the Cantor Measure,Analysis,Harmonic analysis,2000,2026-07-09,"GPT-5.5, GPT-5.5 in Codex",OpenAI,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,25,disproved,preprint,candidates,,,,https://arxiv.org/abs/2607.08656
strichartz-tse-radon-nikodym-integrability,Strichartz-Tse $L^p$-Integrability on the Sierpinski Gasket,Analysis,Fractal analysis,,2026-07-24,GPT-5.6,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2607.22784
strict-cosingularity-adjoints-separable-range,Strict Cosingularity and Adjoints for Separable Range,Analysis,Banach Space Operator Ideals,2008,2026-07-19,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,10,proved,preprint,agent,,,,https://arxiv.org/abs/2607.17388
cesaro-means-firmly-nonexpansive,Strong Convergence of Cesaro Means of Firmly Nonexpansive Iterates,Analysis,Fixed point theory,1975,2026-05-25,ChatGPT 5.5,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2605.25491
classical-smith-ward-problem,The Classical Smith-Ward Problem,Analysis,Operator algebras,,2026-07-13,ChatGPT,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,disproved,preprint,search,,,,https://arxiv.org/abs/2607.04274
regular-gabor-frame-existence,The Existence Problem for Regular Gabor Frames,Analysis,Harmonic analysis,,2026-06-24,"GPT-5.4, Claude Opus 4.7",OpenAI / Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2606.26052
graveyard-problem-spectral-invisibility,The Graveyard Problem for Dissipative Barrier Truncations,Analysis,Computational spectral theory,2014,2026-07-24,ChatGPT-based agent system,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,agent; search,,,,https://arxiv.org/abs/2607.22120
a-counterexample-to-the-inverse-generator-problem-and-related-questions,The Inverse Generator Problem on Hilbert Spaces,Analysis,Semigroup theory,1988,2026-08-06,"ChatGPT 5.6 Pro, Claude Fable 5","OpenAI, Anthropic",ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,22,disproved,preprint,,,,,https://arxiv.org/abs/2608.06272
lukic-conjecture,The Lukic Conjecture,Analysis,Spectral theory,,2026-07-29,GPT-5.6,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2607.26419
modified-lyons-sidorova-conjecture,The Modified Lyons–Sidorova Conjecture for Bounded-Variation Paths,Analysis,"Rough Paths, Path Signatures",2020,2026-07-29,ChatGPT,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.26377
planar-berenstein-conjecture,The Planar Berenstein Conjecture,Analysis,Overdetermined boundary problems,1980,2026-08-09,ChatGPT 5.6,OpenAI,ai-co-developed,computation,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,22,disproved,preprint,search,,,,https://arxiv.org/abs/2608.08953
steklov-isospectral-convex-plane-domains,The Planar Steklov Analogue of Kac's Question,Analysis,Spectral geometry,2017,2026-08-11,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2608.10557
toroidal-elton-odell,The Toroidal Elton–Odell Theorem,Analysis,Banach Space Geometry,,2026-07-19,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,agent,,,,https://arxiv.org/abs/2607.17388
faber-krahn-position-convex-bodies,Uniqueness of the Faber–Krahn Position of Convex Bodies,Analysis,"Spectral Geometry, Convex Geometry",2011,2026-07-23,ChatGPT,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.21539
hyperbolic-corners-unit-area-triangles,Unit-Area Triangles in Planar Sets of Large Measure,Analysis,Harmonic analysis,,2026-05-28,"ChatGPT 5.4 Pro, Gemini 3.1 Pro",OpenAI / Google,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2605.30033
dfjp-interpolation-schauder-basis,Weakly Compact Factorization Through a Space With a Basis,Analysis,Banach Space Factorization,1974,2026-07-19,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,proved,preprint,agent,,,,https://arxiv.org/abs/2607.17388
wickstead-positive-projections,Wickstead's Conjecture on Positive Projections,Analysis,Banach lattices,,2026-04-16,Claude Opus 4.6,Anthropic,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2604.14697
word-length-spectral-triples-compact-quantum-metric-spaces,Word-length spectral triples as compact quantum metric spaces,Analysis,Operator algebras,2002,2026-08-12,GPT-5.6 Sol,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2608.12080
e-log-concavity-chromatic-quasisymmetric,$e$-Log-Concavity of Chromatic Quasisymmetric Functions,Combinatorics,Algebraic combinatorics,,2026-07-22,ChatGPT with Codex,OpenAI,ai-assisted,computation,site-confirmed,site-reproduced,no-mention,harness-signal,,15,disproved,preprint,search,,,,https://arxiv.org/abs/2607.20595
nivat-conjecture-non-convex-window-counterexample,A Counterexample to Nivat's Conjecture for a Non-Convex Window,Combinatorics,"Symbolic Dynamics, Tilings",2023,2026-07-10,GPT-5 + Claude Opus 4,,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.09830
boppana-entropy-generalization,A Generalization of Boppana's Entropy Inequality,Combinatorics,Entropy inequalities,,2026-01-27,"GPT-5.2 Pro, Harmonic Aristotle, Gemini 3 Pro","OpenAI, Harmonic, Google DeepMind",ai-co-developed,argument,lean-checked,lean,tiered-lean-checked,no-signal,,8,proved,preprint,,,,,https://arxiv.org/abs/2601.19327
albertson-berman-induced-forest-conjecture,Albertson–Berman Induced Forest Conjecture,Combinatorics,Graph theory,1979,2026-08-11,GPT-5.6 Sol,OpenAI,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,30,disproved,preprint,brute; search,,,,https://zenodo.org/records/21883880
araujo-piga-schacht-tight-hamilton,Araujo-Piga-Schacht Question on Tight Hamilton Cycles,Combinatorics,Hypergraph theory,,2026-07-23,ChatGPT,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.21568
asymptotically-attaining-the-moore-bound,Asymptotically attaining the Moore bound,Combinatorics,,1978,2026-08-04,GPT-5.6,OpenAI,ai-co-developed,construction,lean-verified,lean,tiered-lean-verified,no-signal,,38,proved,preprint,,,,,https://arxiv.org/abs/2608.03965
babai-frankl-oddtown-composite,Babai and Frankl's Oddtown Question for Composite Moduli,Combinatorics,Extremal set theory,1992,2025-08-30,GPT-5.6 Sol,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2509.00586
babai-minimal-cayley-chromatic,Babai's Minimal Cayley Graph Problem,Combinatorics,Algebraic graph theory,1978,2026-08-06,ChatGPT 5.6 Sol,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,30,disproved,preprint,,,,,https://arxiv.org/abs/2608.06254
green-open-problem-90,Ben Green's Open Problem 90,Combinatorics,Additive combinatorics,,2026-05-13,ChatGPT 5.4,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,30,proved,preprint,,,,,https://arxiv.org/abs/2605.13454
boots-royle-cao-vince-conjecture,Boots-Royle/Cao-Vince Conjecture on Planar Spectral Radius,Combinatorics,Spectral graph theory,1991,2026-07-21,ChatGPT,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2607.19268
brualdi-interchange-graph-hamiltonicity,Brualdi's Question on Hamiltonicity of Interchange Graphs,Combinatorics,Combinatorial matrix theory,1980,2026-07-14,"Claude, GPT/Codex",Anthropic / OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2607.13165
k-antichains-unit-cube,Conjecture on $k$-Antichains in the Unit Cube,Combinatorics,Combinatorics,,2026-06-26,GPT-5.5 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2606.28606
defant-short-proofs-combinatorics,"Conjectures of Hopkins, Sagan-Wilson and Defant et al. on Lattices, Parking Functions and the Plactic Monoid",Combinatorics,Algebraic and enumerative combinatorics,,2026-05-19,ChatGPT 5.4 Pro,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,17,proved,preprint,autonomous,,,,https://arxiv.org/abs/2605.19979
bounded-circumference-cycle-counting,Counting Fixed Cycles in Graphs with Bounded Circumference,Combinatorics,Extremal graph theory,2023,2026-07-12,GPT-5.6,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,9,proved,preprint,,,,,https://arxiv.org/abs/2607.10779
cycle-double-cover-conjecture,Cycle Double Cover Conjecture,Combinatorics,Graph Theory,1973,2026-07-10,GPT-5.6 Sol Ultra,OpenAI,ai-discovered,argument,lean-checked,lean,tiered-lean-checked,harness-signal,harness-multiagent-lean,55,proved,announcement,agent; search; subagent,,,"64 parallel subagents, under an hour, then a public Lean formalization added afterward. This is the prompt template later reused (as a one-shot, not a harness) for mihail-vazirani-conjecture and as a harness for crouzeix-s-conjecture.",https://www.scientificamerican.com/article/chatgpt-just-proved-another-50-year-old-math-conjecture/
dihedral-ramsey-numbers-of-the-alternating-a-path-versus-k-b-for-every-a-4-1-a-1,"Dihedral Ramsey numbers of the alternating a-path versus K_b, for every a >= 4: 1 + (a-1)(b-1)",Combinatorics,Permutational Ramsey theory,2026,2026-08-13,Claude Fable 5,Anthropic,ai-discovered,argument,site-confirmed,site-reproduced,mentioned-not-tiered,harness-signal,,8,proved,preprint,agent; pipeline; search,,,,https://github.com/ZestyWombat854/alternating-path-ramsey
dihedral-and-cyclic-ramsey-numbers-of-the-alternating-3-path,Dihedral and cyclic Ramsey numbers of the alternating 3-path,Combinatorics,Permutational Ramsey theory,2026,2026-08-12,Claude Fable 5,Anthropic,ai-discovered,argument,site-confirmed,site-reproduced,mentioned-not-tiered,harness-signal,,5,proved,preprint,agent; autonomous; enumerat; pipeline,,,,https://github.com/ZestyWombat854/dihedral-ramsey
schubitope-ehrhart-positivity,Ehrhart Positivity of Schubitopes,Combinatorics,Algebraic combinatorics,2019,2026-08-01,GPT-5.6 Sol Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2608.00377
elizalde-luo-pattern-avoidance,Elizalde-Luo Pattern-Avoidance Conjecture,Combinatorics,Enumerative combinatorics,2025,2026-07-12,Demonstrandum multi-agent pipeline,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,5,proved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
erdos-593-1177-obligatory-triple-systems,Erdos Problems #593 and #1177,Combinatorics,Infinite combinatorics,,2026-06-23,"ChatGPT, Aristotle",OpenAI / Harmonic,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,13,proved,preprint,search,,,,https://arxiv.org/abs/2606.24882
erdos-1014,Erdős Problem #1014,Combinatorics,"Graph Theory, Ramsey Theory",1971,2026-04-23,OpenAI internal model,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1014
erdos-1026-monotonic-subsequence-sums,Erdős Problem #1026: Monotonic Subsequence Sums,Combinatorics,Combinatorics,1975,2025-12-08,"Aristotle, with GPT, Gemini and AlphaEvolve also contributing",Harmonic / OpenAI / Google DeepMind,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://terrytao.wordpress.com/2025/12/08/the-story-of-erdos-problem-126/
erdos-1091,Erdős Problem #1091,Combinatorics,"Graph Theory, Chromatic Number",1976,2026-04-09,OpenAI internal model,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1091
erdos-1092,Erdős Problem #1092,Combinatorics,"Graph Theory, Chromatic Number",1976,2026-04-28,GPT-5.5 Pro,,ai-discovered,construction,site-confirmed,site-reproduced,no-mention,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/1092
erdos-138,Erdős Problem #138,Combinatorics,Ramsey Theory,1981,2026-05-21,AlphaProof Nexus,Google DeepMind,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,14,proved,announcement,,,,,https://www.erdosproblems.com/138
erdos-603,Erdős Problem #603,Combinatorics,"Combinatorics, Set Theory",1987,2026-04-21,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/603
erdos-610,Erdős Problem #610,Combinatorics,Graph Theory,1992,2026-04-21,"Aristotle, GPT-5.4 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,11,proved,announcement,,,,,https://www.erdosproblems.com/610
erdos-619,Erdős Problem #619,Combinatorics,Graph Theory,1998,2026-06-09,"Claude Fable 5, Codex, GPT-5.5",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/619
erdos-670-diameter-separated-distances,Erdős Problem #670: Diameter with Separated Distances,Combinatorics,Combinatorial geometry,,2026-04-16,"GPT-5.4 Pro, Harmonic Aristotle","OpenAI, Harmonic",ai-discovered,construction,lean-checked,lean,tiered-lean-checked,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2604.15305
erdos-750,Erdős Problem #750,Combinatorics,"Graph Theory, Chromatic Number",1994,2026-05-03,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/750
erdos-986,Erdős Problem #986,Combinatorics,"Graph Theory, Ramsey Theory",1990,2026-06-16,"Claude, OpenAI internal model",,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,11,proved,announcement,,,,,https://www.erdosproblems.com/986
t-edge-balanced-existence,Existence of $t$-Edge-Balanced Graphs for $t \ge 3$,Combinatorics,Design theory,,2026-05-16,ChatGPT,OpenAI,ai-assisted,computation,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2605.16840
faber-harris-isolation-lemma-conjecture,Faber-Harris Conjecture on the Isolation Lemma,Combinatorics,Extremal combinatorics,2018,2026-07-07,ChatGPT,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.06171
feige-hypergraph-moore-bound,Feige's Hypergraph Moore-Bound Conjecture,Combinatorics,Extremal combinatorics,2008,2026-07-17,"GPT-5.6 Sol, GPT-5.5 Pro, Claude Opus 4.8, Claude Fable 5",OpenAI / Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2607.14068
complementary-bell-fibers,Finitude of the Fibers of Complementary Bell Numbers,Combinatorics,Enumerative combinatorics,1999,2026-08-01,GPT-5.6 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2608.00575
fulek-l3-linear-extremal-bound,Fulek's Question on the Extremal Function of $L_3$,Combinatorics,Extremal combinatorics,2009,2026-07-17,"Codex (GPT-5.6), Claude Code (Fable 5)",OpenAI / Anthropic,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.16463
gao-huo-ma-consecutive-cycle-lengths,Gao-Huo-Ma Question on Cycle Lengths in Critical Graphs,Combinatorics,Graph theory,2021,2026-07-16,ChatGPT 5.5,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2607.15501
garamvolgyi-jackson-jordan-cliques,Garamvölgyi-Jackson-Jordán Conjecture on Cliques in Minimally Globally Rigid Graphs,Combinatorics,Rigidity theory,2025,2026-04-30,ChatGPT 5.5,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,8,proved,preprint,,,,,https://arxiv.org/abs/2604.27989
graffiti-conjecture-143,Graffiti Conjecture 143,Combinatorics,Spectral graph theory,1990,2026-06-12,Demonstrandum multi-agent pipeline,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
graffiti-conjecture-284,Graffiti Conjecture 284,Combinatorics,Spectral graph theory,1996,2026-07-22,Grok 4.5 Medium (Capy build),xAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent,,,,https://x.com/justinsunyt/status/2080116559352316409
graffiti-residue-common-divisor,Graffiti's Residue Problem for Common-Divisor Graphs,Combinatorics,Graph theory,,2026-08-03,"Theo-Conjecture, OpenAI Codex",,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,5,proved,preprint,search,,,,https://arxiv.org/abs/2608.04040
hadamard-matrix-of-order-668,Hadamard Matrix of Order 668,Combinatorics,Combinatorial design theory,1933,2026-08-12,Claude (version undisclosed),Anthropic,ai-assisted,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,30,proved,announcement,search,,,,https://x.com/__alpoge__/status/2087504785952182273
directed-3-torus-hamilton,Hamilton Decompositions of the Directed 3-Torus,Combinatorics,Graph decompositions,2026,2026-03-25,"Claude Opus 4.6, GPT-5.3 Codex, GPT-5.4 Pro",Anthropic / OpenAI,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,5,proved,preprint,,,,,https://arxiv.org/abs/2603.24708
directed-5-torus-hamilton,"Hamilton Decompositions of the Directed 5-Torus, Odd Modulus",Combinatorics,Graph decompositions,,2026-04-29,"GPT-5.5 Pro, GPT-5.5 Codex, Claude Opus 4.7","OpenAI, Anthropic",ai-co-developed,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,no-signal,,5,proved,preprint,,,,,https://arxiv.org/abs/2604.27140
hoa-maximal-non-hamiltonian-graphs,Hoa's Conjecture on Maximal Non-Hamiltonian Graphs,Combinatorics,Graph theory,1994,2026-08-02,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2608.00957
kaul-mudrock-unlabeled-donner-conjecture,Kaul-Mudrock Conjecture on the Unlabeled List Color Function,Combinatorics,Graph coloring,2024,2026-07-18,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,site-confirmed,site-reproduced,no-mention,no-signal,,9,proved,preprint,,,,,https://arxiv.org/abs/2607.16810
koch-narayan-conjecture-1,Koch-Narayan Conjecture 1,Combinatorics,Extremal graph theory,2025,2026-06-12,Demonstrandum multi-agent pipeline,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
kurkov-fubini-sum,Kurkov's Fubini-Number Sum Conjecture,Combinatorics,Enumerative combinatorics,2018,2026-07-08,Demonstrandum multi-agent pipeline,,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,5,proved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
levit-mandrescu-unimodality-conjecture,Levit–Mandrescu Unimodality Conjecture,Combinatorics,"Graph Theory, Independence Polynomials",2006,2026-07-22,"GPT-5.6 Sol, Claude Fable 5",,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,10,disproved,announcement,search,,,,https://www.linkedin.com/posts/tesuji_levit-mandrescu-counterexample-activity-7487528446403768320-b1pc
log-concavity-of-flats-of-matroids,Log-Concavity of Flats of Matroids,Combinatorics,Matroid theory,1972,2026-07-02,"ChatGPT-5.5 Pro, Claude Opus 4.8",OpenAI; Anthropic,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,30,disproved,preprint,search,,,,https://arxiv.org/abs/2607.02208
multivariate-independence-polynomial-bounds,Lower Bounds for Multivariate Independence Polynomials,Combinatorics,Extremal combinatorics; statistical physics,,2026-08-05,"Aletheia (Gemini Deep Think), Harmonic Aristotle","Google DeepMind, Harmonic",ai-co-developed,argument,lean-checked,lean,tiered-lean-checked,harness-signal,,12,proved,preprint,agent; search,,,,https://arxiv.org/abs/2602.02450
regts-sevenster-mixed-partition-functions,Mixed Partition Functions and Exponentially Bounded Edge-Connection Rank,Combinatorics,"Graph Parameters, Tensor Categories",,2026-07-29,Claude Fable 5 + GPT-5.6 Sol Pro,,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.27198
monical-snp-conjecture,Monical's Saturated Newton Polytope Conjecture,Combinatorics,Newton polytopes,2017,2026-07-23,ChatGPT-5.6 Sol Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.21508
nineteen-exact-reflective-and-dihedral-ramsey-numbers-from-damnjanovic-dordevic-,Nineteen exact reflective and dihedral Ramsey numbers from Damnjanovic-Dordevic's tables,Combinatorics,Permutational Ramsey theory,2026,2026-08-13,Claude Fable 5,Anthropic,ai-discovered,computation,site-confirmed,site-reproduced,mentioned-not-tiered,harness-signal,,5,proved,announcement,agent; brute; orchestrat; pipeline; search,,,,https://github.com/ZestyWombat854/reflective-dihedral-ramsey
norine-antipodal-coloring-conjecture,Norine's Antipodal-Colouring Conjecture,Combinatorics,"Graph Theory, Topological Combinatorics",,2026-07-21,GPT-5,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.19276
pak-slonim-stretched-schubert-polynomiality,Pak-Slonim Conjecture on Stretched Schubert Structure Constants,Combinatorics,Algebraic combinatorics,,2026-07-21,Codex,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.18746
pandey-parity-petersen,Pandey Parity Conjecture for Generalized Petersen Graphs,Combinatorics,Independence polynomials,2026,2026-06-12,Demonstrandum multi-agent pipeline,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,5,disproved,announcement,agent; pipeline,,,,https://github.com/demonstrandum-research/artifacts
